[2026-07-03 22:15:12,962 INFO] Batch size: 16
[2026-07-03 22:15:12,962 INFO] The number of training instances: 80000
[2026-07-03 22:15:13,336 INFO] Start training.
  0%|          | 0/4 [00:00<?, ?it/s][2026-07-03 22:15:13,337 INFO] 4
[2026-07-03 22:15:19,603 INFO] Epoch id: 1, Training steps: 100, Avg loss: 0.613
[2026-07-03 22:15:22,456 INFO] Epoch id: 1, Training steps: 200, Avg loss: 0.264
[2026-07-03 22:15:25,335 INFO] Epoch id: 1, Training steps: 300, Avg loss: 0.059
[2026-07-03 22:15:28,142 INFO] Epoch id: 1, Training steps: 400, Avg loss: 0.020
[2026-07-03 22:15:30,925 INFO] Epoch id: 1, Training steps: 500, Avg loss: 0.009
[2026-07-03 22:15:33,726 INFO] Epoch id: 1, Training steps: 600, Avg loss: 0.005
[2026-07-03 22:15:36,558 INFO] Epoch id: 1, Training steps: 700, Avg loss: 0.004
[2026-07-03 22:15:39,394 INFO] Epoch id: 1, Training steps: 800, Avg loss: 0.003
[2026-07-03 22:15:42,257 INFO] Epoch id: 1, Training steps: 900, Avg loss: 0.001
[2026-07-03 22:15:45,225 INFO] Epoch id: 1, Training steps: 1000, Avg loss: 0.004
[2026-07-03 22:15:48,021 INFO] Epoch id: 1, Training steps: 1100, Avg loss: 0.001
[2026-07-03 22:15:52,128 INFO] Epoch id: 1, Training steps: 1200, Avg loss: 0.001
[2026-07-03 22:15:55,159 INFO] Epoch id: 1, Training steps: 1300, Avg loss: 0.001
[2026-07-03 22:15:58,740 INFO] Epoch id: 1, Training steps: 1400, Avg loss: 0.000
[2026-07-03 22:16:02,142 INFO] Epoch id: 1, Training steps: 1500, Avg loss: 0.000
[2026-07-03 22:16:05,490 INFO] Epoch id: 1, Training steps: 1600, Avg loss: 0.000
[2026-07-03 22:16:08,860 INFO] Epoch id: 1, Training steps: 1700, Avg loss: 0.000
[2026-07-03 22:16:12,727 INFO] Epoch id: 1, Training steps: 1800, Avg loss: 0.000
[2026-07-03 22:16:17,561 INFO] Epoch id: 1, Training steps: 1900, Avg loss: 0.000
[2026-07-03 22:16:20,965 INFO] Epoch id: 1, Training steps: 2000, Avg loss: 0.000
[2026-07-03 22:16:25,701 INFO] Epoch id: 1, Training steps: 2100, Avg loss: 0.000
[2026-07-03 22:16:29,278 INFO] Epoch id: 1, Training steps: 2200, Avg loss: 0.000
[2026-07-03 22:16:33,444 INFO] Epoch id: 1, Training steps: 2300, Avg loss: 0.000
[2026-07-03 22:16:39,166 INFO] Epoch id: 1, Training steps: 2400, Avg loss: 0.000
[2026-07-03 22:16:43,258 INFO] Epoch id: 1, Training steps: 2500, Avg loss: 0.000
[2026-07-03 22:16:48,925 INFO] Epoch id: 1, Training steps: 2600, Avg loss: 0.000
[2026-07-03 22:16:52,223 INFO] Epoch id: 1, Training steps: 2700, Avg loss: 0.000
[2026-07-03 22:16:55,690 INFO] Epoch id: 1, Training steps: 2800, Avg loss: 0.000
[2026-07-03 22:17:00,213 INFO] Epoch id: 1, Training steps: 2900, Avg loss: 0.000
[2026-07-03 22:17:03,735 INFO] Epoch id: 1, Training steps: 3000, Avg loss: 0.000
[2026-07-03 22:17:08,004 INFO] Epoch id: 1, Training steps: 3100, Avg loss: 0.000
[2026-07-03 22:17:13,782 INFO] Epoch id: 1, Training steps: 3200, Avg loss: 0.000
[2026-07-03 22:17:17,301 INFO] Epoch id: 1, Training steps: 3300, Avg loss: 0.000
[2026-07-03 22:17:21,577 INFO] Epoch id: 1, Training steps: 3400, Avg loss: 0.000
[2026-07-03 22:17:24,979 INFO] Epoch id: 1, Training steps: 3500, Avg loss: 0.000
